"Station","year","TP","epar","secchi","chla","TPn","eparn","secchin","chlan"
"B",1999,0.0386153846153846,1.16076923076923,1.61538461538462,14.0092307692308,13,13,13,13
"B",2000,0.0345,0.892846153846154,1.83307692307692,11.48,12,13,13,13
"B",2001,0.0452307692307692,1.062,1.93076923076923,15.1638461538462,13,13,13,13
"B",2002,0.0304615384615385,0.995010307692308,2.07692307692308,12.1484615384615,13,13,13,13
"B",2003,0.0310833333333333,0.829131230769231,1.86538461538462,13.0215384615385,12,13,13,13
"B",2004,0.0339166666666667,1.04727469230769,1.73076923076923,13.6646153846154,12,13,13,13
"B",2005,0.0405384615384615,1.30631707692308,1.57692307692308,25.0469230769231,13,13,13,13
"B",2006,0.0376923076923077,1.26446153846154,1.47692307692308,17.7015384615385,13,13,13,13
"B",2007,0.0412307692307692,1.29807692307692,1.61538461538462,16.1784615384615,13,13,13,13
"B",2008,0.0374615384615385,1.02030769230769,1.53846153846154,11.2615384615385,13,13,13,13
"B",2009,0.0282307692307692,0.957191628692308,1.80769230769231,10.5461538461538,13,13,13,13
"B",2010,0.0306153846153846,1.04434025869231,1.74230769230769,12.1230769230769,13,13,13,13
"B",2011,0.0288461538461538,0.964341008384615,1.63461538461538,13.0723076923077,13,13,13,13
"B",2012,0.0323076923076923,1.04710841828571,1.66071428571429,15.0707142857143,13,14,14,14
"B",2013,0.0208846153846154,0.957074784615385,1.76923076923077,10.45,13,13,13,13
"B",2014,0.0176230769230769,0.971438476672539,1.953846152,8.07560153802236,13,13,13,12
"B",2015,0.0237615384615385,NA,NA,14.8960926716144,13,0,0,13
"C",1972,0.0224761904761905,0.638095238095238,3.02857142857143,NA,21,21,21,0
"C",1973,0.0273333333333333,0.637083333333333,2.77916666666667,NA,24,24,24,0
"C",1974,0.0237045454545455,0.720434782608696,2.49130434782609,NA,22,23,23,0
"C",1975,0.0228181818181818,0.678181818181818,2.54090909090909,NA,22,22,22,0
"C",1976,0.0208846153846154,0.59625,2.91153846153846,NA,26,24,26,0
"C",1977,0.02118,0.52875,3.6,6.66086956521739,25,24,25,23
"C",1978,0.0188405796521739,0.629565217391304,3.2304347826087,7.10869565217391,23,23,23,23
"C",1979,0.0187272727272727,0.633333333333333,2.53636363636364,8.60909090909091,22,21,22,22
"C",1980,0.0210833333181818,0.6555,2.46521739130435,9.74347826086957,22,20,23,23
"C",1981,0.0219999998181818,0.596363636363636,2.64545454545455,8.96363636363636,22,22,22,22
"C",1982,0.017888889,0.550952380952381,2.87727272727273,6.10952380952381,21,21,22,21
"C",1983,0.0175,0.55,3.04166666666667,8.9,12,10,12,11
"C",1984,0.0143333333636364,0.557272727272727,2.52727272727273,8.6,11,11,11,11
"C",1985,0.0171666666363636,0.535454545454545,3.43636363636364,8.85454545454545,11,11,11,11
"C",1986,0.0128,0.544,2.96,7.72727272727273,10,10,10,11
"C",1987,0.00983333333333333,0.479166666666667,3.67727272727273,7.35833333333333,12,12,11,12
"C",1988,0.0217948717692308,0.540461538461538,3.25384615384615,6.70038461538461,13,13,13,13
